Question Type,Question,Options,Answer
Choose the Correct Answer,Which of the following has the smallest mass?,(a) 6.023 × 1023 atoms of He--(b) 1 atom of He--(c) 2 g of He--(d) 1-mole atoms of He,(b) 1 atom of He
Choose the Correct Answer,Which of the following is a triatomic molecule?,(a) Glucose--(b) Helium--(c) Carbon dioxide--(d) Hydrogen,(c) Carbon dioxide
Choose the Correct Answer,The volume occupied by 4.4 g of CO2 at S.T.P is,(a) 22.4 litre--(b) 2.24 litre--(c) 0.24 litre--(d) 0.1 litre,(b) 2.24 litre
Choose the Correct Answer,Mass of 1 mole of Nitrogen atom is,(a) 28 amu--(b) 14 amu--(c) 28 g--(d) 14 g,(b) 14 amu
Choose the Correct Answer,Which of the following represents 1 amu?,(a) Mass of a C-12 atom--(b) Mass of a hydrogen atom--(c) 1/12th of the mass of a C-12 atom--(d) Mass of O-16 atom,(c) 1/12th of the mass of a C-12 atom
Choose the Correct Answer,In the nucleus of 20Ca40 there are,(a) 20 protons and 40 neutrons--(b) 20 protons and 20 neutrons--(c) 20 protons and 40 electrons--(d) 40 protons and 20 electrons,(b) 20 protons and 20 neutrons
Choose the Correct Answer,The gram molecular mass of oxygen molecule is,(a) 16 g--(b) 18 g--(c) 32 g--(d) 17 g,(c) 32 g
Choose the Correct Answer,1 mole of any substance contains molecules,(a) 6.023 × 1023--(b) 6.023 × 10-23--(c) 3.0115 × 1023--(d) 12.046 × 1023,(a) 6.023 × 1023
Fill in the Blanks,Atoms of different elements having same mass number but different atomic numbers are called _______.,isobars
Fill in the Blanks,Atoms of different elements having same number of _______ are called isotones.,neutrons
Fill in the Blanks,Atoms of one element can be transmuted into atoms of other element by _______.,artificial transmutation
Fill in the Blanks,The sum of the numbers of protons and neutrons of an atom is called its _______.,mass number
Fill in the Blanks,The average atomic mass of hydrogen is _______ amu.,1.008
True or False,One gram of C-12 contains Avogadro's number of atoms.,False
True or False,One mole of oxygen gas contains Avogadro's number of molecules.,True
True or False,One mole of hydrogen gas contains Avogadro's number of atoms.,True
True or False,One mole of electrons stands for 6.023 × 1023 electrons.,True
Answer Briefly,What is atomicity?,The number of atoms present in a molecule is called its atomicity.
Answer Briefly,Define mole.,A mole is the amount of a substance that contains as many elementary particles as there are atoms in exactly 12 grams of carbon-12.
Answer in Detail,Explain the concept of atomic mass and molecular mass.,Atomic mass is the mass of an atom relative to 1/12th the mass of a carbon-12 atom. It is measured in atomic mass units (amu). Molecular mass is the sum of atomic masses of all atoms in a molecule. For example: H2O molecular mass = 2(1) + 16 = 18 amu. CO2 molecular mass = 12 + 2(16) = 44 amu.
Answer in Detail,Describe Avogadro's number and its significance.,Avogadro's number (6.023 × 1023) represents the number of particles in one mole of any substance. Significance: 1. It helps convert between mass and number of particles. 2. It allows calculation of molecular mass from atomic mass. 3. It helps in chemical calculations involving gases liquids and solids. 4. It bridges the gap between microscopic and macroscopic measurements.
