Question Type,Question,Options,Answer
Choose the Correct Answer,The atomic number of an element is equal to,(a) number of neutrons--(b) number of protons--(c) number of electrons--(d) mass number,(b) number of protons
Choose the Correct Answer,The mass number of an element is equal to,(a) number of protons--(b) number of neutrons--(c) sum of protons and neutrons--(d) atomic number,(c) sum of protons and neutrons
Choose the Correct Answer,The isotope used in the treatment of cancer is,(a) U-235--(b) I-131--(c) Co-60--(d) C-14,(c) Co-60
Choose the Correct Answer,The average life of a radioactive substance is,(a) half life × 1.44--(b) half life × 0.6931--(c) half life × 0.693--(d) half life × 1.443,(d) half life × 1.443
Choose the Correct Answer,The penetrating power is maximum for,(a) α rays--(b) β rays--(c) γ rays--(d) cosmic rays,(c) γ rays
True or False,Isotopes have same atomic number but different mass number.,True
True or False,Nuclear fission is a natural radioactive process.,False
True or False,Nuclear fusion reactions occur at very high temperatures.,True
True or False,Radioactive decay is a random process.,True
Fill in the Blanks,The number of neutrons in an atom is equal to mass number minus _______.,atomic number
Fill in the Blanks,The radioactive isotope of hydrogen is _______.,tritium
Fill in the Blanks,The time taken by a radioactive substance to reduce to half of its initial amount is called _______ life.,half
Fill in the Blanks,The process of combining two lighter nuclei to form a heavier nucleus is called nuclear _______.,fusion
Fill in the Blanks,The ionizing power is maximum for _______ rays.,alpha
Answer Briefly,What is radioactivity?,Radioactivity is the spontaneous emission of radiation from the nuclei of certain elements.
Answer Briefly,Define half-life.,Half-life is the time taken by a radioactive substance to reduce to half of its initial amount.
Answer in Detail,Explain the types of radioactive decay.,Types of radioactive decay include: 1. Alpha decay: Emission of helium nucleus (2 protons and 2 neutrons). 2. Beta decay: Conversion of neutron to proton with emission of electron. 3. Gamma decay: Emission of high energy electromagnetic radiation. 4. Positron emission: Conversion of proton to neutron with emission of positron.
Answer in Detail,Describe the applications of radioactivity.,Applications of radioactivity include: 1. Medicine: Cancer treatment diagnosis and sterilization of medical equipment. 2. Agriculture: Development of new varieties of crops and food preservation. 3. Industry: Testing materials and thickness measurement. 4. Power generation: Nuclear power plants using controlled fission. 5. Research: Carbon dating and studying biological processes.
