Question Type,Question,Options,Answer
Choose the Correct Answer,Which of the following is not a source of energy?,(a) Sun--(b) Flowing water--(c) Coal--(d) Iron,(d) Iron
Choose the Correct Answer,The potential difference required to pass a current of 0.2 A in a wire of resistance 20 ohm is,(a) 100 V--(b) 4 V--(c) 0.01 V--(d) 40 V,(b) 4 V
Choose the Correct Answer,The equivalent resistance of two resistors connected in parallel is 2 ohm. If one resistor is of 3 ohm then the other resistor is,(a) 1 ohm--(b) 2 ohm--(c) 3 ohm--(d) 6 ohm,(d) 6 ohm
Choose the Correct Answer,In a simple circuit the heat produced in the resistor is directly proportional to,(a) the square of the current--(b) square of the resistance--(c) time--(d) all of these,(d) all of these
Choose the Correct Answer,The electrical appliance which does not carry a heating element is,(a) electric iron--(b) electric kettle--(c) electric fan--(d) electric toaster,(c) electric fan
True or False,Electric current is the rate of flow of charges.,True
True or False,The resistance of a conductor decreases when its temperature increases.,False
True or False,The effective resistance of resistors in parallel is less than the individual resistances.,True
True or False,Electric power can be transmitted over long distances without much loss of energy.,True
Fill in the Blanks,The SI unit of electric current is _______.,ampere
Fill in the Blanks,Resistance is the property of a conductor to _______ the flow of charges through it.,oppose
Fill in the Blanks,For a parallel combination of resistors the reciprocal of effective resistance is equal to the _______ of reciprocals of individual resistances.,sum
Fill in the Blanks,The commercial unit of electrical energy is _______.,kilowatt hour
Fill in the Blanks,The power of an electric device is measured in _______.,watt
Answer Briefly,What is meant by electric current?,Electric current is defined as the rate of flow of electric charges through a conductor.
Answer Briefly,State Ohm's law.,Ohm's law states that the current flowing through a conductor is directly proportional to the potential difference across its ends provided the temperature remains constant.
Answer in Detail,Explain the factors affecting resistance of a conductor.,The resistance of a conductor depends on: 1. Length: Directly proportional to length. 2. Cross-sectional area: Inversely proportional to area. 3. Nature of material: Depends on resistivity. 4. Temperature: Generally increases with temperature for conductors. Formula: R = ρL/A where ρ is resistivity L is length and A is area.
Answer in Detail,Describe the heating effects of electric current and its applications.,Heating effects occur when current flows through a resistor converting electrical energy to heat. Applications include: 1. Electric iron: Uses nichrome heating element. 2. Electric kettle: Converts electrical energy to heat energy to boil water. 3. Electric toaster: Uses high resistance wire to produce heat. 4. Electric heater: Converts electrical energy to heat for room heating. The heat produced depends on: current squared resistance and time (H = I²Rt).
