Question Type,Question,Options,Answer
Choose the Correct Answer,The first human-made cereal is,(a) Rice--(b) Wheat--(c) Triticale--(d) Maize,(c) Triticale
Choose the Correct Answer,Which of the following is not a transgenic animal?,(a) Dolly--(b) Flavr Savr--(c) BT Cotton--(d) None of these,(a) Dolly
Choose the Correct Answer,The process of producing exact copies of organisms is called,(a) Cloning--(b) Tissue culture--(c) Hybridization--(d) Mutation breeding,(a) Cloning
Choose the Correct Answer,The first transgenic plant is,(a) Tobacco--(b) Cotton--(c) Rice--(d) Tomato,(a) Tobacco
Choose the Correct Answer,The technique used to detect genetic disorders is,(a) Amniocentesis--(b) Tissue culture--(c) Gene therapy--(d) Hybridization,(a) Amniocentesis
Fill in the Blanks,The process of crossing between two different but related species is called _______.,hybridization
Fill in the Blanks,The first cloned animal was _______.,Dolly sheep
Fill in the Blanks,The process of growing plant cells in artificial medium is called _______.,tissue culture
Fill in the Blanks,The transfer of genes from one organism to another is called _______.,genetic engineering
Fill in the Blanks,BT cotton is resistant to _______.,bollworm
True or False,Tissue culture produces disease-free plants.,True
True or False,Genetic engineering can be used to produce insulin.,True
True or False,Cloning can produce exact copies of organisms.,True
True or False,Hybridization always produces superior offspring.,False
True or False,Gene therapy can cure genetic disorders.,True
Answer Briefly,What is plant breeding?,Plant breeding is the science of changing the traits of plants to produce desired characteristics including higher yield disease resistance and better quality.
Answer Briefly,Define biotechnology.,Biotechnology is the use of living organisms or their components to produce products and processes useful to humans.
Answer Briefly,What is genetic engineering?,Genetic engineering is the direct manipulation of an organism's genes using biotechnology to create new combinations of genes.
Answer in Detail,Explain the applications of biotechnology in agriculture.,Applications of biotechnology in agriculture: 1. Development of disease-resistant crops 2. Production of high-yielding varieties 3. Creation of transgenic plants with improved traits 4. Tissue culture for rapid plant propagation 5. Biological control of pests and diseases. Examples include BT cotton golden rice and drought-resistant crops.
Answer in Detail,Describe the process and significance of tissue culture.,Tissue culture process and significance: 1. Selection of plant tissue (explant) 2. Sterilization and culture in artificial medium 3. Growth and multiplication of cells 4. Regeneration of complete plants 5. Hardening and transfer to soil. Benefits include rapid multiplication disease-free plants conservation of rare species and production of secondary metabolites.
